,Full_Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,cluster
132,Rady Mom,41,1,26,3,93,106,26,35,3,0,2,2,4,23,40,35,0
133,Randy Hunt,45,5,2,13,9,2,3,21,7,35,2,0,41,104,54,6,0
134,Richard M. Haggerty,0,0,0,0,0,0,0,0,0,0,0,0,13,30,154,103,0
136,Ronald Mariano,46,1,76,127,101,1,57,131,44,0,51,142,28,6,151,317,2
137,Roselee Vincent,33,5,140,4,4,5,97,28,1,2,37,0,0,4,97,49,0
138,Russell Holmes,2,0,4,2,2,1,1,4,1,0,1,1,0,1,0,9,0
139,Ruth B. Balser,1,0,1,2,6,211,3,0,3,1,3,0,2,213,2,1,0
140,Sarah K. Peake,77,32,38,0,4,3,15,4,26,18,178,1,12,8,3,1,0
141,Sean Garballey,56,1,1,0,5,3,17,6,0,25,431,7,2,56,28,164,2
142,Shaunna O'Connell,256,72,157,159,324,195,83,122,99,22,107,154,163,97,36,75,1
143,Shawn C. Dooley,76,1,4,4,120,17,54,4,74,0,4,9,74,7,4,54,0
144,Sheila C. Harrington,0,0,3,0,11,0,62,1,25,7,10,3,0,3,0,4,0
145,Solomon Goldstein-Rose,0,0,0,0,1,34,31,18,1,2,27,1,0,1,9,3,0
146,Stephan Hay,56,0,0,0,0,50,6,66,21,0,1,1,13,7,129,3,0
147,Stephen Kulik,6,1,88,5,0,3,108,10,5,1,87,10,1,0,1,4,0
148,Steven Howitt,16,104,28,2,30,38,76,22,47,19,0,1,27,6,2,10,0
149,Steven Ultrino,4,4,99,9,3,25,10,137,2,5,98,1,1,1,73,63,0
150,Susan D. Williams Gifford,0,0,0,3,11,9,5,73,57,0,3,1,75,13,29,1,0
151,Susannah M. Whipps,0,0,0,0,32,72,7,4,23,0,0,1,4,20,25,1,0
152,Tackey Chan,35,30,74,4,10,6,61,102,47,66,140,6,124,56,230,11,2
153,Tami L. Gouveia,0,0,0,0,0,0,0,0,20,0,0,0,104,117,148,74,0
154,Theodore C. Speliotis,2,1,63,3,3,59,113,17,3,2,52,4,57,59,83,8,0
155,Thomas A. Golden Jr.,135,85,380,1,3,6,243,89,84,98,240,4,158,12,266,26,2
156,Thomas J. Vitolo,0,0,0,0,0,0,0,0,82,0,0,0,16,116,59,70,0
157,Thomas M. Petrolati,7,2,3,1,6,8,220,5,14,193,4,1,4,4,1,4,0
158,Thomas M. Stanley,209,119,256,173,78,127,129,116,124,63,31,112,89,24,71,126,1
159,Thomas P. Walsh,102,0,0,0,0,2,6,147,30,2,20,1,32,2,34,4,0
160,Timothy R. Whelan,123,15,95,65,101,19,84,27,178,9,44,8,117,43,134,20,2
161,Todd M. Smola,60,35,9,0,3,44,1,5,9,56,1,0,37,62,0,0,0
162,Tram Nguyen,0,0,0,0,0,0,0,0,54,0,0,0,358,416,397,264,2
163,Tricia Farley-Bouvier,4,14,120,0,92,120,160,41,128,1,24,7,2,1,5,10,0
164,William C. Galvin,30,0,50,1,0,0,42,2,1,1,40,0,0,1,48,40,0
165,"William J. Driscoll, Jr.",0,0,0,0,35,49,38,0,44,1,36,6,1,10,102,3,0
166,"William L. Crocker, Jr.",0,0,0,0,108,144,92,147,67,92,51,60,128,144,122,4,2
167,William M. Straus,123,1,76,3,2,45,83,8,101,13,69,2,3,2,21,53,0
168,William Pignatelli,161,142,0,0,3,276,4,0,6,278,1,1,6,256,4,3,0
